title,coffee_type,rating,reviews,price_per_kg
"new england coffee decaf hazelnut crememedium roast ground coffee, 10 oz, bag",medium roast,4.6,253,20.17636684303351
"dunkin’ midnight dark roast ground coffee, 11 oz. bag",dark roast,4.1,126,25.529185375240537
"starbucks vanilla flavored coffee, ground coffee, naturally flavored,  11 oz",,4.6,149,28.80051314945478
"gevalia traditional roast ground coffee, 12 oz. bag",,4.8,283,24.926513815402707
"gevalia french roast ground coffee, 12 oz. bag","french,french roast",4.7,472,24.926513815402707
"great value 100% arabica blonde medium roast ground coffee pods, 12 ct","arabica,medium roast",4.3,67,12.6984126984127
"dunkin' original blend, medium roast coffee, 30-ounce canister",medium roast,4.8,870,21.069958847736626
"folgers classic decaf ground coffee, medium roast, 25.9-ounce",medium roast,4.5,64,16.668936402015525
"starbucks caff verona, ground coffee, dark roast, 12 oz",dark roast,4.7,932,26.39623750734862
"gevalia espresso dark roast ground coffee, 12 oz. bag","espresso,dark roast",4.8,179,24.926513815402707
"starbucks veranda blend, ground coffee, starbucks blonde roast, 28 oz",blonde roast,4.6,955,23.280423280423282
"1850 trailblazer, medium-dark roast ground coffee, 12 oz.","medium-dark roast,dark roast",4.5,3335,24.926513815402707
"starbucks veranda blend, ground coffee, starbucks blonde roast, 12 oz",blonde roast,4.6,1024,26.39623750734862
"starbucks decaf house blend ground coffee, medium roast, 12 oz",medium roast,4.7,304,26.39623750734862
"caribou coffee vanilla hazelnut dreamstate, medium roast ground coffee, 11oz bag",medium roast,4.7,55,25.593329057087878
"community coffee signature blend medium roast ground coffee, 32 oz, bag",medium roast,4.9,851,26.65343915343915
"green mountain coffee caramel vanilla cream keurig single-serve k-cup pods, light roast coffee, 48 count","caramel,light roast",4.5,1924,19.635508524397412
"maxwell house international french vanilla sugar free decaf instant coffee, decaffeinated, 4 oz. canister","french,instant coffee",4.6,379,3.6743092298647855
"gloria jean's butter toffee, keurig single-serve k-cup pods, medium roast coffee, 24 count",medium roast,4.3,1872,21.92827748383304
"community coffee breakfast blend medium roast ground coffee, 32 oz, bag",medium roast,4.9,442,23.280423280423282
"community coffee signature blend dark roast ground coffee, 12 oz, bag",dark roast,4.8,419,38.065843621399175
"starbucks breakfast blend, ground coffee, medium roast, 28 oz",medium roast,4.6,421,37.76769967246158
"eight o'clock 100% colombian peaks medium roast ground coffee bag, 33 oz","colombian,medium roast",4.7,175,37.74452164617852
"caribou coffee daybreak light roast ground coffee, 12oz bag",light roast,4.8,45,61.5814226925338
"hills bros. original blend ground coffee, medium roast, 30.5 oz. can",medium roast,4.4,83,21.92667977333179
"mccafe colombian ground coffee, medium roast, 12 oz. bagged","colombian,medium roast",4.6,130,26.425631981187536
"folgers classic roast ground coffee, 40.3-ounce",classic roast,3.8,93,12.183807439824944
"café bustelo, espresso style dark roast ground coffee, vacuum-packed 10 oz. brick","espresso,dark roast",4.7,914,13.26278659611993
"folgers classic roast ground coffee, medium roast coffee, 25.9 ounce canister","medium roast,classic roast",4.4,740,13.57755685687049
"maxwell house original roast ground coffee, 42.5 oz. canister",,4.8,1321,8.233048385758154
"gevalia decaf house blend ground coffee, decaffeinated, 12 oz. bag",,4.7,312,24.926513815402707
